Idade,Renda Anual (em $),Gênero,Tempo no Site (min),Anúncio Clicado,Compra (0 ou 1)
29,30000,Feminino,5.7417055766185,Não,0
58,50000,Feminino,21.8855051886772,Sim,0
50,70000,Feminino,6.12133920058922,Não,1
21,100000,Feminino,16.2649254745783,Não,0
59,50000,Feminino,28.2356673618279,Sim,1
24,70000,Feminino,9.13009848344625,Sim,1
39,100000,Feminino,14.7468088235386,Sim,1
50,100000,Masculino,23.246507721212,Não,0
34,30000,Masculino,27.0564639023712,Sim,1
41,70000,Masculino,21.7735751185627,Sim,0
51,50000,Masculino,11.4543313547792,Sim,0
45,100000,Masculino,21.8651963229054,Sim,0
58,50000,Masculino,12.4181910276023,Sim,1
56,30000,Feminino,22.9607307454684,Sim,0
39,70000,Masculino,28.850828189626,Não,1
34,50000,Feminino,23.0348362776572,Sim,0
51,100000,Masculino,26.5720125728103,Sim,1
23,100000,Masculino,5.05259607939709,Sim,1
23,70000,Feminino,22.9393031182899,Sim,0
51,30000,Feminino,25.7396889216313,Não,1
18,70000,Masculino,6.01396843861704,Não,0
27,30000,Feminino,26.7899431822058,Sim,0
38,30000,Feminino,11.4173557077511,Não,0
22,100000,Masculino,21.6323025494514,Sim,0
19,30000,Masculino,25.0088719755852,Sim,0
39,50000,Feminino,21.5666128264839,Não,0
19,100000,Feminino,7.30711980183143,Não,0
27,50000,Feminino,19.9080379715092,Não,1
51,30000,Feminino,18.7395914180536,Sim,1
33,100000,Masculino,27.5080317018568,Não,1
56,30000,Masculino,15.1059932411052,Sim,1
39,70000,Masculino,13.0270274271763,Sim,1
29,100000,Feminino,23.7462691109117,Não,0
41,100000,Feminino,15.3168831520849,Sim,0
57,70000,Feminino,21.1524043751266,Não,1
55,50000,Masculino,21.1612522531152,Não,0
27,30000,Masculino,27.2009766090029,Sim,0
52,100000,Masculino,19.9673100579774,Não,0
49,100000,Feminino,17.5538402490497,Não,0
24,50000,Feminino,8.47178315991292,Sim,0
38,30000,Masculino,7.89344016696763,Não,0
37,30000,Feminino,8.85803913207699,Não,0
43,30000,Masculino,9.29621203317736,Sim,0
21,70000,Feminino,20.9469273165909,Não,0
39,50000,Masculino,23.5245312568645,Não,0
32,100000,Feminino,18.2497880731605,Sim,1
57,70000,Masculino,25.7254433136373,Não,0
38,30000,Feminino,29.7815806683408,Sim,0
32,70000,Masculino,25.5003157279839,Não,1
39,50000,Masculino,22.372059341899,Não,0
45,50000,Masculino,18.3123174859287,Sim,0
31,70000,Masculino,16.2213267918677,Sim,0
44,100000,Masculino,7.10980951361356,Não,1
58,100000,Feminino,14.9842187098673,Sim,0
57,30000,Masculino,27.7533659195534,Não,0
45,30000,Feminino,25.2005657476638,Sim,1
43,70000,Feminino,10.4012841252922,Não,0
19,30000,Feminino,16.6651946174304,Não,0
42,50000,Masculino,25.4180800639636,Não,0
20,30000,Masculino,6.68461386963806,Sim,0
25,70000,Feminino,14.6848146417165,Não,0
50,30000,Feminino,26.2960309218487,Não,0
59,70000,Masculino,15.0974466042531,Sim,1
52,100000,Masculino,6.94036611828602,Sim,0
23,30000,Masculino,18.5633592133063,Sim,0
56,30000,Feminino,26.5435623729574,Não,0
40,50000,Masculino,19.757138573829,Não,0
42,100000,Masculino,10.6569777053558,Sim,0
36,30000,Feminino,14.6059905034345,Não,1
22,50000,Masculino,16.2530840295483,Sim,0
28,30000,Masculino,19.4816588455132,Sim,1
29,70000,Feminino,23.9837756438153,Não,1
27,50000,Feminino,7.47184044101589,Não,0
25,70000,Masculino,27.2413008254392,Não,1
41,100000,Masculino,5.30774257540189,Sim,0
45,30000,Masculino,14.2513083668564,Não,0
58,100000,Masculino,5.68550774931644,Sim,0
53,30000,Feminino,14.8243556336323,Sim,0
54,100000,Masculino,18.1453149718331,Sim,0
38,70000,Masculino,17.7920346645378,Não,0
25,100000,Masculino,9.14070867570663,Não,0
26,30000,Feminino,21.1435127523903,Sim,0
32,30000,Feminino,6.11946126261671,Não,0
57,50000,Feminino,24.0476705033104,Não,1
35,50000,Masculino,28.6661108498387,Sim,1
59,30000,Feminino,13.4942206787779,Não,0
37,50000,Feminino,17.9309845428583,Não,0
23,30000,Masculino,14.4727569514704,Sim,1
29,50000,Masculino,5.1677597576015,Sim,1
19,100000,Masculino,14.6468625723779,Não,1
24,50000,Masculino,24.7930064815337,Não,0
33,30000,Masculino,19.899721054587,Não,0
20,50000,Masculino,7.53149786537897,Sim,0
20,30000,Masculino,26.1784872423446,Não,0
44,100000,Feminino,18.2771336221311,Sim,1
57,30000,Masculino,26.0430840436169,Sim,1
55,70000,Feminino,19.5055379696257,Não,0
50,100000,Feminino,18.9922111209485,Sim,1
45,100000,Feminino,7.63147962992531,Sim,0
18,70000,Feminino,9.1839933284657,Sim,0
37,70000,Masculino,22.3786138511898,,0
,30000,Feminino,15.1079692026073,Sim,0
28,,Masculino,15.7049903731404,Não,0
37,50000,Masculino,22.9399441414544,Não,0
33,30000,Masculino,22.3109037831092,Sim,0
21,30000,Masculino,29.7813998425547,Não,1
23,30000,Masculino,8.20985723635313,Sim,0
,50000,Masculino,-1,Sim,0
43,50000,Feminino,23.1084704282185,Sim,0
20,100000,Feminino,19.4596729251602,Sim,0
58,50000,Feminino,11.8540166639951,Sim,1
59,30000,Feminino,6.98548422472467,Sim,0
31,70000,Masculino,7.14145623991076,,0
28,70000,Feminino,27.354771866603,Não,0
35,30000,Feminino,9.79668311796857,,1
29,30000,Feminino,13.084289052888,Sim,1
40,30000,Masculino,-1,Sim,0
29,70000,Masculino,13.8749076457984,Não,0
30,70000,Masculino,6.73559606865234,Sim,0
42,50000,Masculino,17.9764947727068,Sim,1
36,100000,Feminino,6.69031408980537,Não,0
53,100000,Feminino,25.008912695559,Sim,0
,50000,Feminino,10.8428020477608,Não,0
46,100000,Feminino,18.5002978651128,Não,0
,30000,Feminino,27.0019771890365,Sim,0
35,30000,Feminino,21.2719342261799,Sim,1
23,30000,,18.3239446637834,Não,0
35,30000,Masculino,13.1083438278844,Sim,0
36,50000,Masculino,13.3250478264549,Sim,0
39,,Masculino,21.7371738799548,,1
54,30000,Feminino,29.8534840305292,Sim,0
,30000,Feminino,21.5459797462345,Não,1
,50000,Masculino,-1,,0
20,,,-1,Sim,0
45,50000,Masculino,16.630140307093,Sim,0
27,50000,,6.50355856501963,Sim,0
52,30000,Masculino,19.0574203969477,Sim,0
46,30000,Masculino,28.9406321126345,Sim,1
32,,Feminino,9.38257355894149,Não,0
50,,Masculino,22.2501222705166,Sim,0
24,30000,Masculino,10.0233422164764,Não,0
29,,Masculino,18.395692111827,,1
47,70000,Feminino,7.41691124116799,Não,1
38,100000,Feminino,16.2592734064546,Não,0
48,50000,Masculino,23.9040832223812,Sim,1
41,50000,Feminino,13.6892881059746,Não,0
37,50000,Feminino,21.6227931121805,Não,0
54,70000,Masculino,-1,Sim,1
21,30000,Masculino,28.1794454869863,Sim,1
,30000,Masculino,10.8660520463863,Não,0
37,50000,Masculino,14.9828978952327,Sim,0
41,70000,Feminino,8.81040033326044,Sim,0
49,30000,Masculino,29.8120875539594,Sim,1
58,70000,Feminino,28.1750241981074,Sim,0
,,Feminino,18.498928257014,Não,0
51,30000,Masculino,26.0508323594105,Não,0
,70000,Feminino,18.0239494318011,Não,0
19,50000,Masculino,20.589642200069,Sim,0
32,100000,,7.22811080290042,Sim,1
51,30000,Feminino,23.8817605124202,Sim,0
53,70000,Feminino,8.19283709088087,Sim,0
23,100000,Feminino,25.6516907563132,Sim,0
56,,Masculino,24.5507021917596,Não,1
59,70000,Feminino,22.7186174435744,Sim,0
29,50000,,5.90400951311905,Não,0
20,70000,Feminino,12.5782088986332,Sim,1
35,100000,Feminino,11.5778142477711,Sim,1
57,50000,Feminino,14.003410186788,Sim,1
38,30000,Masculino,7.19106866909596,,1
32,,Masculino,28.4239455757766,Não,0
50,70000,Feminino,18.8450560178094,,1
52,70000,Masculino,12.6381077664506,Sim,0
43,30000,Feminino,14.9245379268571,Sim,1
25,70000,,16.1800635126209,Não,1
53,50000,Masculino,20.0148583340154,Sim,1
47,70000,Masculino,17.8919856924124,Não,0
40,30000,Feminino,27.9847993303604,Sim,0
59,70000,Masculino,17.4240870726458,Sim,0
31,,Feminino,29.8039503705828,Sim,1
31,30000,Masculino,26.2856239436274,Sim,1
19,,Feminino,10.2127628589334,Não,0
54,50000,Masculino,28.2648803660979,Sim,0
22,100000,Feminino,7.9091599471369,Sim,0
55,70000,Feminino,25.4362427122798,Sim,1
58,50000,Feminino,14.5155823369145,Sim,1
31,70000,Masculino,26.9493580111267,Não,0
56,100000,Feminino,26.7014172526863,Não,0
42,50000,Feminino,25.1481350029405,,1
37,50000,Masculino,24.7507609076765,Não,1
19,70000,Masculino,12.616978477451,Sim,0
56,100000,Masculino,7.02298207628131,Não,0
23,70000,Feminino,15.074504469129,Sim,0
34,70000,Feminino,9.33811287466272,Sim,0
42,50000,Feminino,22.3737772225615,Não,0
45,100000,Masculino,13.6524931634446,Sim,0
19,30000,Masculino,29.3902550214979,,1
,50000,Feminino,21.0243019336333,Sim,0
54,30000,Feminino,25.562014090859,Não,1
22,50000,,8.31311681854621,Não,0
18,50000,Masculino,26.5503620568156,Não,0
